names,links,category,filename
Edith Dimock,https://en.wikipedia.org/wiki/Edith_Dimock,List_of_20th-century_women_artists,./HTML/Women/Edith_Dimock.html
Katherine Sophie Dreier,https://en.wikipedia.org/wiki/Katherine_Sophie_Dreier,List_of_20th-century_women_artists,./HTML/Women/Katherine_Sophie_Dreier.html
Mabel Esplin,https://en.wikipedia.org/wiki/Mabel_Esplin,List_of_20th-century_women_artists,./HTML/Women/Mabel_Esplin.html
Dulah Marie Evans,https://en.wikipedia.org/wiki/Dulah_Marie_Evans,List_of_20th-century_women_artists,./HTML/Women/Dulah_Marie_Evans.html
Mary Foote,https://en.wikipedia.org/wiki/Mary_Foote,List_of_20th-century_women_artists,./HTML/Women/Mary_Foote.html
May Gearhart,https://en.wikipedia.org/wiki/May_Gearhart,List_of_20th-century_women_artists,./HTML/Women/May_Gearhart.html
Margaret Gere,https://en.wikipedia.org/wiki/Margaret_Gere,List_of_20th-century_women_artists,./HTML/Women/Margaret_Gere.html
Elizabeth Shippen Green,https://en.wikipedia.org/wiki/Elizabeth_Shippen_Green,List_of_20th-century_women_artists,./HTML/Women/Elizabeth_Shippen_Green.html
Elena Guro,https://en.wikipedia.org/wiki/Elena_Guro,List_of_20th-century_women_artists,./HTML/Women/Elena_Guro.html
Edith Haworth,https://en.wikipedia.org/wiki/Edith_Haworth,List_of_20th-century_women_artists,./HTML/Women/Edith_Haworth.html
Gwen John,https://en.wikipedia.org/wiki/Gwen_John,List_of_20th-century_women_artists,./HTML/Women/Gwen_John.html
Nell Choate Jones,https://en.wikipedia.org/wiki/Nell_Choate_Jones,List_of_20th-century_women_artists,./HTML/Women/Nell_Choate_Jones.html
Wilhelmina Weber Furlong,https://en.wikipedia.org/wiki/Wilhelmina_Weber_Furlong,List_of_20th-century_women_artists,./HTML/Women/Wilhelmina_Weber_Furlong.html
Maude Kerns,https://en.wikipedia.org/wiki/Maude_Kerns,List_of_20th-century_women_artists,./HTML/Women/Maude_Kerns.html
Laura Knight,https://en.wikipedia.org/wiki/Laura_Knight,List_of_20th-century_women_artists,./HTML/Women/Laura_Knight.html
Anna Coleman Ladd,https://en.wikipedia.org/wiki/Anna_Coleman_Ladd,List_of_20th-century_women_artists,./HTML/Women/Anna_Coleman_Ladd.html
Sr. Maria Stanisia,https://en.wikipedia.org/wiki/Sr._Maria_Stanisia,List_of_20th-century_women_artists,./HTML/Women/Sr._Maria_Stanisia.html
Edith Maryon,https://en.wikipedia.org/wiki/Edith_Maryon,List_of_20th-century_women_artists,./HTML/Women/Edith_Maryon.html
Delle Miller,https://en.wikipedia.org/wiki/Delle_Miller,List_of_20th-century_women_artists,./HTML/Women/Delle_Miller.html
Paula Modersohn-Becker,https://en.wikipedia.org/wiki/Paula_Modersohn-Becker,List_of_20th-century_women_artists,./HTML/Women/Paula_Modersohn-Becker.html
Gabriele Münter,https://en.wikipedia.org/wiki/Gabriele_M%C3%BCnter,List_of_20th-century_women_artists,./HTML/Women/Gabriele_M%C3%BCnter.html
Violet Oakley,https://en.wikipedia.org/wiki/Violet_Oakley,List_of_20th-century_women_artists,./HTML/Women/Violet_Oakley.html
Anna Ostroumova-Lebedeva,https://en.wikipedia.org/wiki/Anna_Ostroumova-Lebedeva,List_of_20th-century_women_artists,./HTML/Women/Anna_Ostroumova-Lebedeva.html
Margaret Preston,https://en.wikipedia.org/wiki/Margaret_Preston,List_of_20th-century_women_artists,./HTML/Women/Margaret_Preston.html
Ethel Sands,https://en.wikipedia.org/wiki/Ethel_Sands,List_of_20th-century_women_artists,./HTML/Women/Ethel_Sands.html
Martha Stettler,https://en.wikipedia.org/wiki/Martha_Stettler,List_of_20th-century_women_artists,./HTML/Women/Martha_Stettler.html
Anna Heyward Taylor,https://en.wikipedia.org/wiki/Anna_Heyward_Taylor,List_of_20th-century_women_artists,./HTML/Women/Anna_Heyward_Taylor.html
Bessie Potter Vonnoh,https://en.wikipedia.org/wiki/Bessie_Potter_Vonnoh,List_of_20th-century_women_artists,./HTML/Women/Bessie_Potter_Vonnoh.html
Ada Hill Walker,https://en.wikipedia.org/wiki/Ada_Hill_Walker,List_of_20th-century_women_artists,./HTML/Women/Ada_Hill_Walker.html
Nellie Walker,https://en.wikipedia.org/wiki/Nellie_Walker,List_of_20th-century_women_artists,./HTML/Women/Nellie_Walker.html
Clara McDonald Williamson,https://en.wikipedia.org/wiki/Clara_McDonald_Williamson,List_of_20th-century_women_artists,./HTML/Women/Clara_McDonald_Williamson.html
Enid Yandell,https://en.wikipedia.org/wiki/Enid_Yandell,List_of_20th-century_women_artists,./HTML/Women/Enid_Yandell.html
Rowena Meeks Abdy,https://en.wikipedia.org/wiki/Rowena_Meeks_Abdy,List_of_20th-century_women_artists,./HTML/Women/Rowena_Meeks_Abdy.html
Berenice Abbott,https://en.wikipedia.org/wiki/Berenice_Abbott,List_of_20th-century_women_artists,./HTML/Women/Berenice_Abbott.html
Bessie Marsh Brewer,https://en.wikipedia.org/wiki/Bessie_Marsh_Brewer,List_of_20th-century_women_artists,./HTML/Women/Bessie_Marsh_Brewer.html
Nessa Cohen,https://en.wikipedia.org/wiki/Nessa_Cohen,List_of_20th-century_women_artists,./HTML/Women/Nessa_Cohen.html
