names,links,category,profile_path
Valentina Tereshkova,https://en.wikipedia.org/wiki/Valentina_Tereshkova,no file,./Women_Profiles/Valentina_Tereshkova
Wendy Henry,https://en.wikipedia.org/wiki/Wendy_Henry,no file,./Women_Profiles/Wendy_Henry
Shirley Temple,https://en.wikipedia.org/wiki/Shirley_Temple,no file,./Women_Profiles/Shirley_Temple
Eleanor Lambert,https://en.wikipedia.org/wiki/Eleanor_Lambert,no file,./Women_Profiles/Eleanor_Lambert
Mina Wylie,https://en.wikipedia.org/wiki/Mina_Wylie,no file,./Women_Profiles/Mina_Wylie
Hattie McDaniel,https://en.wikipedia.org/wiki/Hattie_McDaniel,no file,./Women_Profiles/Hattie_McDaniel
Elizabeth Gilbert,https://en.wikipedia.org/wiki/Elizabeth_Gilbert,no file,./Women_Profiles/Elizabeth_Gilbert
Clare Boothe Luce,https://en.wikipedia.org/wiki/Clare_Boothe_Luce,no file,./Women_Profiles/Clare_Boothe_Luce
Margaret Fuller,https://en.wikipedia.org/wiki/Margaret_Fuller,no file,./Women_Profiles/Margaret_Fuller
Rose Heilbron QC,https://en.wikipedia.org/wiki/Rose_Heilbron,no file,./Women_Profiles/Rose_Heilbron_QC
Eleanor Roosevelt,https://en.wikipedia.org/wiki/Eleanor_Roosevelt,no file,./Women_Profiles/Eleanor_Roosevelt
Harriet Beecher Stowe,https://en.wikipedia.org/wiki/Harriet_Beecher_Stowe,no file,./Women_Profiles/Harriet_Beecher_Stowe
Margaret Chan,https://en.wikipedia.org/wiki/Margaret_Chan,no file,./Women_Profiles/Margaret_Chan
Guo Pei,https://en.wikipedia.org/wiki/Guo_Pei,no file,./Women_Profiles/Guo_Pei
Lady Gaga,https://en.wikipedia.org/wiki/Lady_Gaga,no file,./Women_Profiles/Lady_Gaga
Jane Fonda,https://en.wikipedia.org/wiki/Jane_Fonda,no file,./Women_Profiles/Jane_Fonda
Marilyn Monroe,https://en.wikipedia.org/wiki/Marilyn_Monroe,no file,./Women_Profiles/Marilyn_Monroe
Jada Pinkett Smith,https://en.wikipedia.org/wiki/Jada_Pinkett_Smith,no file,./Women_Profiles/Jada_Pinkett_Smith
Chanda Kochhar,https://en.wikipedia.org/wiki/Chanda_Kochhar,no file,./Women_Profiles/Chanda_Kochhar
Elizabeth Taylor,https://en.wikipedia.org/wiki/Elizabeth_Taylor,no file,./Women_Profiles/Elizabeth_Taylor
Anita Roddick,https://en.wikipedia.org/wiki/Anita_Roddick,no file,./Women_Profiles/Anita_Roddick
Rosa Parks,https://en.wikipedia.org/wiki/Rosa_Parks,no file,./Women_Profiles/Rosa_Parks
Nawal El Saadawi,https://en.wikipedia.org/wiki/Nawal_El_Saadawi,no file,./Women_Profiles/Nawal_El_Saadawi
Bette Midler,https://en.wikipedia.org/wiki/Bette_Midler,no file,./Women_Profiles/Bette_Midler
Abigail Johnson,https://en.wikipedia.org/wiki/Abigail_Johnson,no file,./Women_Profiles/Abigail_Johnson
Lisa Cash Hanson,https://en.wikipedia.org/wiki/Lisa_I%27Anson,no file,./Women_Profiles/Lisa_Cash_Hanson
Christiane Nüsslein-Volhard,https://en.wikipedia.org/wiki/Christiane_N%C3%BCsslein-Volhard,no file,./Women_Profiles/Christiane_Nüsslein-Volhard
Emily Murphy,https://en.wikipedia.org/wiki/Emily_Murphy,no file,./Women_Profiles/Emily_Murphy
Raymonde de Laroche,https://en.wikipedia.org/wiki/Raymonde_de_Laroche,no file,./Women_Profiles/Raymonde_de_Laroche
Vandana Shiva,https://en.wikipedia.org/wiki/Vandana_Shiva,no file,./Women_Profiles/Vandana_Shiva
Janis Joplin,https://en.wikipedia.org/wiki/Janis_Joplin,no file,./Women_Profiles/Janis_Joplin
Rosalyn Sussman Yalow,https://en.wikipedia.org/wiki/Rosalyn_Sussman_Yalow,no file,./Women_Profiles/Rosalyn_Sussman_Yalow
Georgia O’Keeffe,https://en.wikipedia.org/wiki/Georgia_O%27Keeffe,no file,./Women_Profiles/Georgia_O’Keeffe
Yoko Ono,https://en.wikipedia.org/wiki/Yoko_Ono,no file,./Women_Profiles/Yoko_Ono
Judy Garland,https://en.wikipedia.org/wiki/Judy_Garland,no file,./Women_Profiles/Judy_Garland
Susan Cain,https://en.wikipedia.org/wiki/Susan_Cain,no file,./Women_Profiles/Susan_Cain
Hedy Lamarr,https://en.wikipedia.org/wiki/Hedy_Lamarr,no file,./Women_Profiles/Hedy_Lamarr
Naomi Wolf,https://en.wikipedia.org/wiki/Naomi_Wolf,no file,./Women_Profiles/Naomi_Wolf
Yulia Tymoshenko,https://en.wikipedia.org/wiki/Yulia_Tymoshenko,no file,./Women_Profiles/Yulia_Tymoshenko
Joan Beauchamp Procter,https://en.wikipedia.org/wiki/Joan_Beauchamp_Procter,no file,./Women_Profiles/Joan_Beauchamp_Procter
Aretha Franklin,https://en.wikipedia.org/wiki/Aretha_Franklin,no file,./Women_Profiles/Aretha_Franklin
Dorothy Parker,https://en.wikipedia.org/wiki/Dorothy_Parker,no file,./Women_Profiles/Dorothy_Parker
Jennifer Lopez,https://en.wikipedia.org/wiki/Jennifer_Lopez,no file,./Women_Profiles/Jennifer_Lopez
Carly Fiorina,https://en.wikipedia.org/wiki/Carly_Fiorina,no file,./Women_Profiles/Carly_Fiorina
Leymah Gbowee,https://en.wikipedia.org/wiki/Leymah_Gbowee,no file,./Women_Profiles/Leymah_Gbowee
Nora Ephron,https://en.wikipedia.org/wiki/Nora_Ephron,no file,./Women_Profiles/Nora_Ephron
Ruth Gordon,https://en.wikipedia.org/wiki/Ruth_Gordon,no file,./Women_Profiles/Ruth_Gordon
Hope Powell,https://en.wikipedia.org/wiki/Hope_Powell,no file,./Women_Profiles/Hope_Powell
Louisa May Alcott,https://en.wikipedia.org/wiki/Louisa_May_Alcott,no file,./Women_Profiles/Louisa_May_Alcott
